0;1;2;3;4;5;6;7;8;9;10;11;12;13
0;2;4;6;8;10;12;14;16;20;25;30;35;40
30;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.05
35;0.71;1.53;2.3;3.07;3.08;3.09;3.1;3.11;3.13;3.15;3.17;3.19;1.74
40;1.12;2.24;3.43;4.66;6.11;6.91;7.14;7.37;8.48;9.02;6.46;5.54;3.12
45;1.45;2.82;4.34;5.92;7.91;9.28;10.61;10.87;12.11;12.38;9.4;8.33;4.66
50;1.71;3.41;5.71;7.5;9.46;11.51;13.72;15.23;14.69;14.84;11.03;10.77;5.99
55;1.97;3.96;6.94;8.67;10.78;12.92;15.06;17.01;16.23;16.11;12.82;12.73;7.54
60;2.26;4.46;7.47;9.62;11.71;14.33;16.14;18.71;17.82;17.41;14.12;13.86;9.18
65;2.45;4.77;7.87;10.45;12.59;15.4;17.29;20.05;19.48;18.67;15.89;15.36;10.48
70;2.64;4.97;8.32;11.29;13.28;16.15;18.33;20.78;21.15;20.2;17.68;16.85;11.86
75;2.77;5.16;8.62;11.78;13.79;16.9;19.33;21.53;22.91;21.94;19.79;18.49;13.17
80;2.86;5.25;8.79;12.06;14.12;17.47;19.98;22.28;24.67;23.6;21.93;19.8;14.59
85;2.86;5.23;8.7;12.18;14.32;17.85;20.44;22.79;25.47;24.74;23.61;20.78;15.3
90;2.83;5.18;8.48;12.03;14.39;18.01;20.58;22.98;26.52;26.00;24.88;21.78;15.78
95;2.79;5.15;8.18;11.79;14.38;18.07;20.63;23.15;26.93;26.48;25.38;22.36;16.37
100;2.73;5.04;7.96;11.59;14.29;18.01;20.52;23.1;27.38;26.82;25.43;22.82;17.00
105;2.61;4.85;7.8;11.41;14.3;17.95;20.3;23.06;27.41;27.02;25.54;22.93;17.33
110;2.45;4.67;7.73;11.46;14.35;17.72;20.05;22.95;27.45;27.04;25.36;22.64;17.64
115;2.26;4.39;7.56;11.44;14.38;17.54;19.86;22.98;27.33;27.06;25.33;22.31;17.85
120;2.08;4.05;7.27;11.3;14.25;17.26;19.76;22.93;27.27;27.00;25.29;22.24;17.75
125;1.8;3.49;6.66;10.88;14.22;16.82;19.59;22.77;27.12;26.78;25.47;22.29;17.65
130;1.58;2.85;5.6;9.87;13.96;16.29;19.25;22.29;26.97;26.64;25.48;22.43;17.26
135;1.29;2.41;4.83;8.78;12.66;14.79;18.24;21.52;26.57;26.28;25.39;22.37;16.76
140;1.11;2.05;4.14;7.93;11.19;13.4;16.55;19.85;26.09;25.47;24.87;22.29;16.34
145;0.97;1.82;3.7;7.02;10.1;12.26;14.77;16.9;24.31;23.83;23.52;21.51;15.8
150;0.86;1.63;3.27;6.39;9.24;11.00;13.15;14.74;22.41;22.09;21.85;20.41;15.25
155;0.75;1.49;2.97;5.82;8.35;9.8;11.86;13.18;18.25;19.82;19.73;18.09;14.29
160;0.69;1.37;2.75;5.33;7.73;8.7;10.2;11.83;15.52;16.67;17.22;15.42;13.33
165;0.64;1.24;2.56;4.77;6.9;7.58;8.34;10.47;12.91;13.55;14.82;13.48;12.38
170;0.6;1.14;2.39;4.22;6.25;6.65;7.04;8.87;10.86;10.79;12.5;11.83;11.17
175;0.58;1.09;2.28;3.95;5.61;6.11;6.39;8.18;9.87;9.87;11.26;10.74;10.7
180;0.57;1.06;2.27;3.84;5.43;5.95;6.17;8.05;9.66;9.35;10.66;10.42;10.22
